ChatId	Query	FastAnswID	Etalon	FTScore	JacScore	TrueAnsw	
7264679	Какой КБК НДФЛ по дивидендам для заполнения уведомления	520743	как заполнить уведомление по ндфл, какое кбк	0,96	0,57	0	
7259145	сколько раз в месяц нужно платить НДФЛ	511064	сколько раз в месяц нужно платить зарплату	0,96	0,67	0	
7260345	Добрый день! Как будем отдыхать в марте?	434526	как будем отдыхать в мае	0,96	0,5	0	
7256751	п.п.1 п.2 ст.346.25НК РФ	507816	п. 1 ст. 217, п. 1 ст. 420, п. 1 ст. 421, п. 2 ст. 422 нк рф, п. п. 1, 2 ст. 20.1, п. 2 ст. 20.2 закона n 125-фз)	0,95	0,29	0	
7257414	кбк для уведомления по страховым взносам НДФЛ, земельный налог	521534	уведомление об исчисленных суммах налога кбк по страховым взносам	0,95	0,56	0	
7261191	как уменьшить убыток за счет уставного капитала	427787	уменьшение уставного капитала в счет погашения убытков	0,95	0,57	0	
7261138	как уменьшить убыток за счет уставного капитала	427787	уменьшение уставного капитала в счет погашения убытков	0,95	0,57	0	
7259890	как рассчитать транспортный налог на гибридный автомобиль	509074	как рассчитать транспортный налог по дорогим автомобилям	0,95	0,67	0	
7260519	Приказ Минпромторга России от 15.07.2019 г. № 2484	504291	приказом минфина россии № 181н от 15.11.2019 г.	0,94	0,45	0	
7252149	Показывать ли мобилизованных сотрудников в отчете персонифицированные сведения?	520610	выплаты уволенного сотрудника включать в отчет персонифицированные сведения	0,94	0,4	0	
7258026	Добрый день !какие группы выделяют среди основных средств?	414255	кровать какая группа основных средств	0,94	0,57	0	
7255761	как заполнить новую форму 6 ндфл за 2022 год	413207	отпускные в новой форме 6-ндфл в 2021	0,95	0,44	0	
7256073	Нужно ли подавать пустой персонифицированный отчет если нет сотрудников	520610	если нет выплат, то надо ли сдавать персонифицированный отчет	0,94	0,38	0	
7258077	Здравствуйте, есть ли сроки подачи корректировочного уведомления по налогам?	515328	срок подачи уведомления по налогу на прибыль	0,94	0,67	0	
7259996	нужно ли заполнять ефс если не было кадровых изменений	490136	как заполнить сзв-тд если не было кадровых изменений	0,94	0,63	0	
7260977	Какая ставка налога на имущество в 2022 году (Свердловская область)?	436339	налоговая ставка на водный налог в кемеровской области на 2022 год	0,96	0,45	0	
7259694	добрый день! Нужно ли подавать пустое уведомление об исчисленных суммах налога?	504843	когда подавать уведомление об исчисленных суммах налогов	0,95	0,71	0	
7258928	Здравствуйте! Есть ли информация по образцу заполнения Заявления по форме КНД 1112542? ¶спасибо!	461275	образец заполнения формы по кнд 1150058 как заполнять	0,96	0,44	0	
7254170	Здравствуйте! Подскажите срок уплаты транспортного налога и налога на имущество за 2022 год?	508591	сроки уплаты земельного налога налога 2022 году	0,96	0,56	0	
7254333	ДД! Нужно ли подавать уведомление об исчисленных суммах налогов, если взносы не платили?	504843	когда подавать уведомление об исчисленных суммах налогов	0,95	0,56	0	
7260709	Добрый день! Нужно ли подавать уведомление при уплате УСН за 4 квартал 2022 года?	520847	нужно ли подавать уведомление по земельному налогу за 4 квартал 2022 года?	0,96	0,6	0	
7259794	Добрый день подскажите пожалуйста поконкретнее КБК перечисление страховых взносов ОПС, дополнительный тариф, НДФЛ,, спасибо	520633	дополнительные страховые взносы кбк	0,95	0,4	0	
7262945	Добрый день, в отношении какого недвижимого имущества для расчета налога берется кадастровая стоимость? Организация ОСНО	508428	расчет среднегодовой стоимости имущества имущество организации на усн	0,96	0,31	0	
7258601	Здравствуйте. в уведомлении об исчисленных суммах налогов по НДФЛ надо ставить другой КБК для дивидендов?	520743	какой кбк указывать в уведомлении об исчисленной сумме налога по ндфл	0,95	0,5	0	
7254769	включать ли в отчет 6-НДФЛ за 2022 год начисленные больничные и отпускные за декабрь 2022 года	518738	входит ли ндфл выплаченный в 2023 году за декабрь 2022 в справке 2-ндфл за 2022 год для работника	0,95	0,28	0	
7264304	Добрый вечер! Уведомление по уплате НДФЛ надо отдельно отправлять от уведомления по сумме уплаченных страховых взносов?	520715	Какой КБК указать в уведомлении об исчисленных суммах по ЕНП если уплачены страховые взносы за сотрудников?	0,95	0,33	0	
7254116	Здравствуйте. Нужно ли подавать уведомление на транспортный и земельный налоги за 2022 год? Срок уплаты 1 марта 2023 года.	519628	налог на имущество уплачен в 2022 году нужно ли подавать уведомление в 2023 году	0,96	0,4	0	
7252189	Доброе утро. Подскажите пожалуйста, если декларация по налогу на имущество сдана, уведомление за 2022 год подавать уже не нужно	519628	если не оплатить налог на имущество за 4 квартал 2022 года, нужно ли подавать уведомление	0,95	0,54	0	
7252536	доброе утро! Подскажите на какой КБК платить земельный налог?	1111111	по какому кбк оплатить пени по земельному налогу	0,95	no	0	
7253829	как заполнить отчет 6-ндфл в 2023 году	1111111	как заполнить отчет 6-ндфл за полугодие 2022 года	0,97	no	0	
7251846	уведомление по ЕНП об исчисленных суммах по Транспортному налогу за 2022 год нужно подавать, если оплаты в 2023 году не было ????	1111111	можно не подавать уведомление о начисленных налогах в 2023 году	0,95	no	0	
7261251	Добрый день. Как в 1с начислять ежемесячные авансовые платежи по налогу на прибыль в 2023 году?	1111111	ежемесячные авансовые платежи по налогу на прибыль в 2022 году	0,97	no	0	
7251982	Добрый день. Можно ли не предоставлять дополнительные дни к ежегодному отпуску?	1111111	предоставляем дополнительный ежегодный отпуск	0,95	no	0	
7252641	Доброе утро! на какие реквизиты платить УСН ИП за 2022 год?	1111111	какие налоги платит ип на патенте в 2022 году	0,96	no	0	
7261693	какой штраф за несвоевременную сдачу сзв стаж?	1111111	какой штраф за несвоевременную сдачу сзв-м	0,96	no	0	
7252226	ОТчет по СЗВМ	1111111	отчет сзв-тд отчет	0,96	no	0	
7258595	Платежное поручение вместо уведомление о ЕНП до какого числа действует?	1111111	какой кбк указать в платежном поручение уведомление в 2023	0,95	no	0	
7254056	ндс	1111111	вопросы по ндс	1	no	1	1
7255152	ЕФС-1	1111111	ЕФС-1	1	no	1	1
7259656	За не сдачу отчета 6-НДФЛ какие штрафы?	1111111	какой штраф за не сдачу отчета 6-ндфл	1	no	1	1
7253266	Добрый день, надо ли сдавать декларацию по имуществу за 2022?	1111111	надо ли сдавать декларацию по имуществу в 2022	1	no	1	1
7251817	енп 2023	1111111	енп в 2023	1	no	1	1
7252260	изменения 2023	1111111	изменения 2023	1	no	1	1
7253091	Добрый день, подскажите пожалуйста срок уплаты фиксированных взносов за ИП	1111111	срок уплаты фиксированных взносов за ип	1	no	1	1
7256873	Нужно ли подавать уведомление на транспортный налог	1111111	нужно ли подавать уведомление по транспортному налогу	1	no	1	1
7253297	как учесть опоздавшею первичку	1111111	опоздавшая первичка как учитывать	1	no	1	1
7254059	ндс	1111111	вопросы по ндс	1	no	1	1
7253579	ставки НДФЛ	1111111	ндфл ставка	1	no	1	1
7256388	изменения 2023	1111111	изменения 2023	1	no	1	1
7256876	изменения 2023	1111111	изменения 2023	1	no	1	1
7257509	образец заполнения платежных поручений в 2023 году	1111111	Образцы заполнения платежных поручений в 2023 году	1	no	1	1
7253727	ндфл 2023	1111111	ндфл 2023	1	no	1	1
7262107	ндфл 2023	1111111	ндфл 2023	1	no	1	1
7253180	ЕНП	1111111	что такое енп	1	no	1	1
7252326	платежки 2023	1111111	платежка 2023	1	no	1	1
7256285	изменения 2023	1111111	изменения 2023	1	no	1	1
7255542	чек лист	1111111	чек-лист	1	no	1	1
7255576	Добрый день, подскажите пожалуйста ЕФС -1 когда нужно сдавать?	1111111	когда сдать ефс-1	1	no	1	1
7259230	енп 2023	1111111	енп в 2023	1	no	1	1
7263898	Здравствуйте! По каким налогом надо подавать уведомление ЕНП?	1111111	по каким налогам надо подавать уведомления по енп	1	no	1	1
7261263	Добрый день. Как правильно вшить вкладыш в трудовую книжку?	1111111	вшить вкладыш в трудовую книжку	1	no	1	1
7261776	ЕФС-1	1111111	ЕФС-1	1	no	1	1
7259346	ндфл 2023	1111111	ндфл 2023	1	no	1	1
7251914	Какие документы выдавать при увольнении?	1111111	какие выдать документы при увольнении	1	no	1	1
7255129	генератор учетной политики	1111111	генератор учетной политики	1	no	1	1
7255632	изменения 2023	1111111	изменения 2023	1	no	1	1
7254370	образцы платежек	1111111	образец платежек	1	no	1	1
7253548	ефс1	1111111	ефс1	1	no	1	1
7258189	изменения 2023	1111111	изменения 2023	1	no	1	1
7258738	срок сдачи сзв- стаж за 2022 год	1111111	сзв стаж за 2022 год срок сдачи	1	no	1	1
7251868	ндфл 2023	1111111	ндфл 2023	1	no	1	1
7251546	ндфл 2023	1111111	ндфл 2023	1	no	1	1
7252599	изменения 2023	1111111	изменения 2023	1	no	1	1
7257074	Добрый день! Нужна информация по закрытию ИП на УСН	1111111	закрытие ип усн	1	no	1	1
7255492	ндфл 2023	1111111	ндфл 2023	1	no	1	1
7252721	фсбу6	1111111	фсбу6	1	no	1	1
7256297	Кто платит авансовые платежи по транспортному налогу?	1111111	кто платит авансовые платежи по транспортному налогу	1	no	1	1
7257010	Добрый день! Пример положения о премировании	1111111	пример положения о премировании	1	no	1	1
7259740	ндфл 2023	1111111	ндфл 2023	1	no	1	1
7254814	Чек-лист февраль	1111111	чек-лист февраль	1	no	1	1
7260195	фсбу 6/2020 основные средства	1111111	фсбу 6/2020 основные средства	1	no	1	1
7260768	пришлите образец заполнения платежного поручения	1111111	образец заполнения платежного поручения	1	no	1	1
7257707	Добрый день. Какой процент от зарплаты должен составлять аванс?	1111111	какой процент от зарплаты должен составлять аванс	1	no	1	1
7257815	Подскажите пожалуйста, нужно ли подавать уведомление на транспортный налог	1111111	нужно ли подавать уведомление по транспортному налогу	1	no	1	1
7256679	ндфл 2023	1111111	ндфл 2023	1	no	1	1
7257510	ОБРАЗЕЦ ЗАПОЛНЕНИЯ ПЛАТЕЖНЫХ ПОРУЧЕНИЙ В 2023	1111111	платежное поручение 2023 образец заполнения	1	no	1	1
7257543	ндфл 2023	1111111	ндфл 2023	1	no	1	1
7252056	календарь бухгалтера	1111111	календарь для бухгалтера	1	no	1	1
7256569	новости за неделю	1111111	новости недели	1	no	1	1
7251847	ндфл 2023г	1111111	НДФЛ 2023г	1	no	1	1
7259334	Ндфл 2023	1111111	ндфл 2023	1	no	1	1
7260317	ндфл 2023	1111111	ндфл 2023	1	no	1	1
7263028	мрот	1111111	мрот	1	no	1	1
7257354	ндфл 2023	1111111	ндфл 2023	1	no	1	1
7251714	псв	1111111	псв	1	no	1	1
7254568	Платежки 2023	1111111	платежка 2023	1	no	1	1
7256204	test	1111111	test	1	no	1	1
7255488	Изменения 2023	1111111	изменения 2023	1	no	1	1
7251650	усн	1111111	усн	1	no	1	1
7252201	Какой КБК указать в уведомлении по страховым взносам	1111111	какой кбк указывать в уведомлении для страховых взносов	1	no	1	1
7263755	КБК ?	1111111	кбк	1	no	1	1
7264485	6-ндфл за год	1111111	6-ндфл за год	1	no	1	1
7254642	как законно снизить налоги	1111111	как законно снизить налоги	1	no	1	1
7256663	ндфл 2023	1111111	ндфл 2023	1	no	1	1
7257493	Добрый день! Подскажите, пожалуйста, какой КБК надо указывать в уведомлении на страховые взносы	1111111	какой КБК надо указать в уведомлении по страховым взносам?	1	no	1	1
7255776	изменения 2023	1111111	изменения 2023	1	no	1	1
7258725	енп	1111111	что такое енп	1	no	1	1
7251577	ндфл 2023	1111111	ндфл 2023	1	no	1	1
7252581	Как учесть опоздавшую первичку	1111111	опоздавшая первичка как учитывать	1	no	1	1
7252794	ндфл 2023	1111111	ндфл 2023	1	no	1	1
7259077	Добрый день. Какой КБК указать в уведомлении страховых взносов за январь 2023 ?	1111111	какой кбк указать в уведомлении по страховым взносам за январь 2023	1	no	1	1
7260355	ндфл 2023	1111111	ндфл 2023	1	no	1	1
7260166	образец письма для оплаты третьим лицом	1111111	образец письма на оплату третьих лиц	1	no	1	1
7259457	Здравствуйте, подскажите как отправить сотрудника в командировку	1111111	командировка сотрудника	1	no	1	1
7259336	МРОТ 2023	1111111	мрот 2023	1	no	1	1
7259789	енп 2023	1111111	енп в 2023	1	no	1	1
7254039	енп 2023	1111111	енп в 2023	1	no	1	1
7255667	новости за неделю	1111111	новости недели	1	no	1	1
7252655	платежки 2023	1111111	платежка 2023	1	no	1	1
7260170	Добрый день! изменения 2023	1111111	изменения 2023	1	no	1	1
7258298	Здравствуйте!ИП на патенте.	1111111	ип на патенте	1	no	1	1
7256534	генератор учетной политики	1111111	генератор учетной политики	1	no	1	1
7262124	платежное поручение	1111111	платежное поручение	1	no	1	1
7259425	Добрый день! Нужен учет пеней за неисполнение контракта?	1111111	учет пени за неисполнение контракта	1	no	1	1
7253141	изменения 2023	1111111	изменения 2023	1	no	1	1
7255678	учетная политика	1111111	что такое учетная политика	1	no	1	1
7251523	нужно ли отправлять уведомление по земельному налогу	1111111	налог земельный уведомление	1	no	1	1
7254813	фсбу 6	1111111	фсбу 6	1	no	1	1
7256811	ндфл2023	1111111	НДФЛ2023	1	no	1	1
7256490	Благодарю Вас!!!	1111111	благодарю Вас))	1	no	1	1
7262015	генератор учетной политики	1111111	генератор учетной политики	1	no	1	1
7251865	Налог НДФЛ 2023	1111111	налог ндфл 2023	1	no	1	1
7259393	годовой отчет 2022	1111111	годовой отчет 2022	1	no	1	1
7255109	ефс1	1111111	ефс1	1	no	1	1
7256447	ндфл за 2023 год	1111111	ндфл в 2023 году	1	no	1	1
7255993	Добрый день подскажите срок сдачи декларации УСН?	1111111	декларация по усн срок сдачи	1	no	1	1
7262513	Новые правила для путевых листов с 2023 года	1111111	новые правила для путевых листов с 2023 года	1	no	1	1
7254603	енп	1111111	что такое енп	1	no	1	1
7254727	учетная политика 2022	1111111	учетная политика на 2022	1	no	1	1
7261800	ИП	1111111	ип	1	no	1	1
7254864	замена сзвм	1111111	замена сзвм	1	no	1	1
7254983	как заполнить платежное поручение по енп	1111111	как заполнить платежное поручение по енп	1	no	1	1
7261267	енп	1111111	что такое енп	1	no	1	1
7261558	чек лист	1111111	чек-лист	1	no	1	1
7253166	ндфл 2023	1111111	ндфл 2023	1	no	1	1
7253822	Мрот 2023	1111111	мрот 2023	1	no	1	1
7256607	ндфл 2023	1111111	ндфл 2023	1	no	1	1
7254217	новости за неделю	1111111	новости недели	1	no	1	1
7260943	учётная политика	1111111	что такое учетная политика	1	no	1	1
7253742	платежки 2023	1111111	платежка 2023	1	no	1	1
7264622	благодарю	1111111	Благодарю	1	no	1	1
7261647	изменение 2023	1111111	изменения 2023	1	no	1	1
7259449	размеры аванса	1111111	размер аванса	1	no	1	1
7254817	фсбу6	1111111	фсбу6	1	no	1	1
7258141	Благодарю за ответ	1111111	Благодарю за ответ	1	no	1	1
7262060	енп	1111111	что такое енп	1	no	1	1
7261521	ндфл 2023	1111111	ндфл 2023	1	no	1	1
7260365	НДС	1111111	вопросы по ндс	1	no	1	1
7257514	ответ на требование по ндс	1111111	ответ на требования по ндс	1	no	1	1
7261641	изменения 2023	1111111	изменения 2023	1	no	1	1
7261789	платежные поручения	1111111	платежное поручение	1	no	1	1
7260438	Изменения 2023	1111111	изменения 2023	1	no	1	1
7254229	образцы платёжек 2023	1111111	образцы платежек 2023	1	no	1	1
7256476	Транспортный налог уведомление какой кбк указывать?	1111111	какой кбк указывать в уведомлении по транспортному налогу	1	no	1	1
7254640	Спецпроект как законно снизить налоги и взносы	1111111	спецпроект. как законно снизить налоги и взносы	1	no	1	1
7255971	ндфл 2023	1111111	ндфл 2023	1	no	1	1
7256320	как учесть опоздавшую первичку	1111111	опоздавшая первичка как учитывать	1	no	1	1
7260616	платежные поручения 2023	1111111	платежные поручения 2023	1	no	1	1
7258733	6НДФЛ	1111111	6ндфл	1	no	1	1
7260843	ефс 1	1111111	ЕФС-1	1	no	1	1
7262186	Изменения на 2023 год.	1111111	изменения на 2023 год	1	no	1	1
7260059	Образцы заполнения платежных поручений в 2023 году	1111111	Образцы заполнения платежных поручений в 2023 году	1	no	1	1
7256511	мрот 2023	1111111	мрот 2023	1	no	1	1
7263965	добрый вечер, куда сдает 6-ндфл ип?	1111111	куда сдавать 6-ндфл ип	1	no	1	1
7259882	зДРАВСТВУЙТЕ. МРОТ 2023 Г.	1111111	мрот 2023 г	1	no	1	1
7260060	Образцы заполнения платежных поручений в 2023 году	1111111	Образцы заполнения платежных поручений в 2023 году	1	no	1	1
7260692	сертификация услуг	1111111	сертификация услуг	1	no	1	1
7259787	енп 2023	1111111	енп в 2023	1	no	1	1
7260799	ндс	1111111	вопросы по ндс	1	no	1	1
7253416	фсбу 27	1111111	фсбу 27	1	no	1	1
7256652	изменения 2023	1111111	изменения 2023	1	no	1	1
7257675	уведомления по страховым взносам	1111111	уведомление о страховых взносах	1	no	1	1
7260955	персонифицированные сведения о физ лицах?	1111111	персонифицированные сведения о физ лицах	1	no	1	1
7253400	срок сдачи декларации по налогу на имущество за 2022	1111111	налог на имущество декларация срок сдачи 2022	1	no	1	1
7262488	ндфл 2023	1111111	ндфл 2023	1	no	1	1
7260563	Изменения 2023	1111111	изменения 2023	1	no	1	1
7260724	оквэды по строительству	1111111	оквэд в строительстве	1	no	1	1
7264204	как закрыть ООО?	1111111	как закрыть ооо	1	no	1	1
7264653	добрый вечер. Кто должен сдавать ЕФС1	1111111	Кто должен сдавать ЕФС1	1	no	1	1
7255804	изменения учетной политике 2023	1111111	учетная политика 2023 изменения	1	no	1	1
7255962	эдо	1111111	эдо	1	no	1	1
7254878	размер единовременного пособия при рождении ребенка в 2023 году	1111111	единовременное пособие при рождении ребенка в 2023 году размер	1	no	1	1
7262303	кАКИЕ документы нужно выдать при увольнении сотруднику	1111111	увольнение сотрудника какие документы выдать	1	no	1	1
7254866	Здравствуйте! нужно ли подавать уведомление по НДС?	1111111	нужно ли подавать уведомление по ндс	1	no	1	1
7258169	Изменения 2023	1111111	изменения 2023	1	no	1	1
7258851	ефс-1	1111111	ЕФС-1	1	no	1	1
7263509	штраф за неуплату ндфл	1111111	штрафы за неуплату ндфл	1	no	1	1
7260650	енп	1111111	что такое енп	1	no	1	1
7261690	Подскажите, пожалуйста, бух проводки по начислению транспортного налога	1111111	бух проводки начисление транспортного налога	1	no	1	1
7262408	Что нужно для выплаты больничного	1111111	выплата больничного	1	no	1	1
7254571	фсбу-6	1111111	фсбу 6	1	no	1	1
7261897	чек лист	1111111	чек-лист	1	no	1	1
7262049	изменения 2023	1111111	изменения 2023	1	no	1	1
7262797	ефс1	1111111	ефс1	1	no	1	1
7262035	отпуск 2023	1111111	отпуск 2023	1	no	1	1
7259468	ндфл	1111111	НДФЛ	1	no	1	1
7252432	ндфл2023	1111111	НДФЛ2023	1	no	1	1
7257974	налоговый форум	1111111	налоговый форум	1	no	1	1
7256903	Отчет в роскомнадзор по персональным данным	1111111	отчет в роскомнадзор по персональным данным	1	no	1	1
7255959	ЕНП	1111111	что такое енп	1	no	1	1
7260488	мрот на 2023	1111111	мрот 2023	1	no	1	1
7256579	сзв тд	1111111	сзв-тд	1	no	1	1
7253100	генератор учетной политики	1111111	генератор учетной политики	1	no	1	1
7251987	ефс1	1111111	ефс1	1	no	1	1
7255293	Образцы платежек	1111111	образец платежек	1	no	1	1
7262117	график отпусков	1111111	графике отпусков	1	no	1	1
7255747	6 ндфл	1111111	6 ндфл	1	no	1	1
7256107	Здравствуйте, подскажите пожалуйста, КБК по страховым взносам в уведомлении?	1111111	кбк для страховых взносов для уведомления	1	no	1	1
7258962	енп	1111111	что такое енп	1	no	1	1
7257393	подскажите КБК по транспортному налогу	1111111	кбк транспортного налога	1	no	1	1
7261129	Генератор учётной политики	1111111	генератор учетной политики	1	no	1	1
7255831	ндфл 2023	1111111	ндфл 2023	1	no	1	1
7259637	учетная политика 2023	1111111	учетная политика в 2023	1	no	1	1
7261363	Здравствуйте! Подскажите пожалуйста, как отразить продажу земельного участка в декларации ндс?	1111111	как отразить в декларации по ндс продажу земельного участка	1	no	1	1
7259262	календарь бухгалтера	1111111	календарь для бухгалтера	1	no	1	1
7261258	тест	1111111	тест	1	no	1	1
7260274	как учесть опоздавшую первичку	1111111	опоздавшая первичка как учитывать	1	no	1	1
7260775	сзв-стаж	1111111	СЗВ- стаж	1	no	1	1
7262801	ЕФС-1	1111111	ЕФС-1	1	no	1	1
7250783	Добрый день, надо ли удерживать алименты с материальной помощи?	1111111	с материальной помощи удерживаются алименты	0,99	no	1	1
7255879	Добрый день! Как перевести сотрудников на электронные трудовые книжки?	1111111	как оформить перевод сотрудника на электронную трудовую книжку	0,98	no	1	1
7253674	Добрый день. Подскажите, пожалуйста, какой КБК по страховым взносам за январь 2023 года указать в Уведомлении об исчисленных суммах налогов	1111111	какие кбк указывать в уведомлении об исчисленных сумм налогов страховых взносов в 2023 году	0,99	no	1	1
7256134	Добрый день! За январь 2023 года на какой КБК нужно перечислить страховые взносы отдельными платежными поручениями ?	1111111	кбк для перечисления страховых взносов в 2023 году платежным поручением вместо уведомления	0,96	no	1	1
7262290	подскажите, вместо сзв-м какой отчет за январь?	1111111	какой отчет сдавать за январь вместо сзв-м	0,98	no	1	1
7260013	6 НДФЛ на каком бланке сдается за 2022г.	1111111	по какой форме сдавать 6-ндфл за 2023	0,97	no	1	1
7252109	Можно ли вместо транспортной накладной выдавать товарно-транспортную накладную	1111111	транспортная накладная вместо товарно-транспортная накладная	0,98	no	1	1
7254251	Добрый день! Как правильно перевести сотрудников при реорганизации	1111111	реорганизация сотрудника переводят	0,99	no	1	1
7257414	кбк для уведомления по страховым взносам НДФЛ, земельный налог	1111111	уведомление об исчисленных суммах налога кбк по страховым взносам	0,95	no	1	1
7260267	изменились ли кбк для страховых взносов с 2023 года?	1111111	новые кбк с 2023 года на страховые взносы	0,97	no	1	1
7263058	по каким реквизитам перечислять страховые взносы	1111111	по каким реквизитам перечислять страховые взносы на травматизм	0,98	no	1	1
7264207	Подскажите отпускные Работнику за сколько дней нужно выплатить ?	1111111	за сколько дней начислять отпускные для сотрудников	0,98	no	1	1
7253080	Здравствуйте. Надо ли подавать уведомление для ЕНП по ежемесячным авансовым платежам по прибыли?	1111111	нужно ли подавать уведомление по енп на авансовые платежи по прибыли	0,99	no	1	1
7258090	Здравствуйте, подскажите пожалуйста какие указывать кбк в уведомлении по ЕНП по исчисленным страховым взносам за январь 2023г	1111111	какой кбк указать в уведомлении по страховым взносам за январь 2023	0,99	no	1	1
7259548	Добрый день, нужно ли подавать уведомление по взносам несчастный случай?	1111111	надо ли подавать уведомление при оплате страховых взносов от несчастных случаев	0,97	no	1	1
7260124	Добрый день ! прошу пояснить по вопросу перехода на ФСБУ 6/2020	1111111	переход фсбу 6/2020	0,95	no	1	1
7256565	Кто платит транспортный налог за лизинговый автомобиль?	1111111	автомобиль в лизинге кто платит транспортный налог	0,99	no	1	1
7262001	Добрый день! Какой КБК указать в уведомленнии ЕНП на страховые взносы?	1111111	какой кбк указывать в уведомлении для страховых взносов	0,98	no	1	1
7262315	календарь бухгалтера на 1 квартал 2023г	1111111	календарь бухгалтера 1 квартал 2023	1	no	1	1
7254239	Отправляем платежку по енп, какие кбк указывать на налоги(страховые взносы конкретно)	1111111	какой КБК указывать в уведомлении об исчисленных налогах для ЕНП при страховых взносах по единому тарифу,	0,96	no	1	1
7259716	Добрый день, подскажите пож что нужно сдавать вместо СЗВ-М ?	1111111	что сдавать вместо формы СЗВ-М?	0,96	no	1	1
7261040	Добрый день. Нужно ли удерживать НДФЛ с материальной помощи иностранца.	1111111	ндфл с материальной помощи иностранцу	0,97	no	1	1
7259217	при расчете компенсации при увольнении нужно ли вычитать отпуск без сохранения оплаты труда?	1111111	как учитывать отпуск без сохранения зарплаты при расчете компенсации при увольнении	0,96	no	1	1
7252864	Добрый день ! Помогите найти образец заполнения уведомления по страховым взносам за январь 2023	1111111	образец заполнения уведомления по страховым взносам в 2023	0,98	no	1	1
7255262	Добрый день! Можно образец заполнения СЗВ-ТД в 2023 г. при увольнении?	1111111	образец заполнения сзв-тд при увольнении 2022	0,95	no	1	1
7254213	Здравствуйте! Заполнение отчета 6НДФЛ. Как отразить в 6-НДФЛ за 2023 год зарплату за декабрь 2021 года, выплаченную в январе 2023 года? Конкретно 2 раздел 6НДФЛ за 2023 год. А также отражать ли удержанный НДФЛ за декабрь 2021 года выплаченный в январе 2022 года в справках о доходе за 2023год?	1111111	как заполнить 6-ндфл за 2022 год если зарплата за декабрь выплачена в январе 2022	0,97	no	1	1
7256691	Сколько дней больничного листа по уходу за ребенком должен оплачивать работодатель?	1111111	сколько дней оплачивают на ребенка по больничному листу	0,97	no	1	1
7264023	Здравствуйте, как правильно поступить: в августе сотруднику был предоставлен отпуск авансом, а в октябре он решает уволится и его заработной платы нге хватает, чтобы вернуть излишне выплаченные отпускные	1111111	можно ли делать удержания с начисленных отпускных, если сотрудник увольняется и отпуск ему предоставлен авансом	0,95	no	1	1
7261527	как оплачивается больничный лист на ребенка?	1111111	как оплачивать больничный лист за ребенка	0,99	no	1	1
7259852	Добрый день, вопрос: оплачены страховые взносы на единый КБК (ЕНП) за январь. Уведомление можно подать, как страховые взносы по единому тарифу на всю сумму или надо расписать по каждому фонду? спасибо	1111111	в уведомлении об исчислении налога по ЕНП по страховым взносам (единый тариф) необходимо проставить один КБК на все взносы или по каждому отдельно?	0,96	no	1	1
7254392	Какой отчет сдаем вместо СЗВ-ТД при приеме сотрудника, вышлите, пожалуйста	1111111	какой отчет нужно сдать при увольнении вместо сзв-тд	0,96	no	1	1
7252701	алименты с отпускных начисляют?	1111111	начисление алиментов с отпускных	0,98	no	1	1
