	text	DATES	FSBU	NK	FZ	KBK	FORMS	KND	NDFL	NPA	MONEY	UNCNOWN_NUM	KEYS	clear_text	lem_text
10	добрый день. подали уведомление в налоговую ндфл и страховые взносы. по страховым взносам ошибочно указали кбк енп. при корректировке уведомления нужно также отражать ндфл и страховые взносы, или только страховые взносы с верными реквизитами?	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['ндфл', 'енп', 'ндфл']	добрый день. подали уведомление в налоговую ндфл и страховые взносы. по страховым взносам ошибочно указали кбк енп. при корректировке уведомления нужно также отражать ндфл и страховые взносы, или только страховые взносы с верными реквизитами?	добрый день подавать уведомление в налоговый ндфл и страховой взнос по страховой взнос ошибочно указывать кбк енс при корректировка уведомление нужно также отражать ндфл и страховой взнос или только страховой взнос с верный реквизит
11	какие кбк указывать в уведомлении по страховым взносам и ндфл	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['ндфл']	какие кбк указывать в уведомлении по страховым взносам и ндфл	какой кбк указывать в уведомление по страховой взнос и ндфл
12	добрый день. как уменьшить усн на фиксированные страховые взносы ип в 2023?	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['усн', 'ип']	добрый день. как уменьшить усн на фиксированные страховые взносы ип в genцифра?	добрый день как уменьшать усн на фиксированный страховой взнос ип в депцифра
13	фиксированные взносы ип 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['ип']	фиксированные взносы ип genцифра	фиксированный взнос ип депцифра
14	добрый день. как в 1с начислять ежемесячные авансовые платежи по налогу на прибыль в 2023 году?	['2023 г']	[]	[]	[]	[]	[]	[]	[]	[]	[]	['1']	['прибыль']	добрый день. как в genцифрас начислять ежемесячные авансовые платежи по налогу на прибыль в genдатаоду?	добрый день как в депцифрас начислять ежемесячный авансовый платеж по налогприбыль в депдатаод
15	ежемесячные авансовые платежи по налогу на прибыль в 2022 году	['2022 г']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['прибыль']	ежемесячные авансовые платежи по налогу на прибыль в genдатаоду	ежемесячный авансовый платеж по налогприбыль в депдатаод
16	здравствуйте! подскажите, пожалуйста, срок уплаты ндс за 4 кв 2022г ?	['4 кв 2022']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['ндс']	здравствуйте! подскажите, пожалуйста, срок уплаты ндс за genдатаг ?	здравствовать подсказывать пожалуйста срок уплата ндс за депдатага
17	срок уплаты ндс за 1 кв 2023	['1 кв 2023']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['ндс']	срок уплаты ндс за genдата	срок уплата ндс за депдат
18	какие есть штрафы за несвоевременную сдачу ефс?	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['ефс']	какие есть штрафы за несвоевременную сдачу ефс?	какой быть штраф за несвоевременный сдача ефс
19	какой штраф будет за несвоевременную сдачу рсв ?	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	какой штраф будет за несвоевременную сдачу рсв ?	какой штраф быть за несвоевременный сдача рсв
20	уведомление енп в каких случаях можно не подавать .,	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['енп']	уведомление енп в каких случаях можно не подавать .,	уведомление енс в какой случай можно не подавать
21	в каких случаях можно не подавать уведомления по ндфл	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['ндфл']	в каких случаях можно не подавать уведомления по ндфл	в какой случай можно не подавать уведомление по ндфл
22	какие налоги платит ип при заключении договоров гпх	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['ип', 'гпх']	какие налоги платит ип при заключении договоров гпх	какой налог платить ип при заключение договор гпх
23	договор гпх какие налоги платить	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['гпх']	договор гпх какие налоги платить	договор гпх какой налог платить
24	какой штраф за несвоевременную сдачу сзв стаж?	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	какой штраф за несвоевременную сдачу сзв стаж?	какой штраф за несвоевременный сдача сзвстаж
25	какой штраф за несвоевременную сдачу сзв-м	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['сзв-м']	какой штраф за несвоевременную сдачу сзв-м	какой штраф за несвоевременный сдача сзвм
26	персонифицированные сведения о физических лицах сдают банкроты	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	персонифицированные сведения о физических лицах сдают банкроты	персонифицировать сведение о физический лицо сдавать банкрот
27	персонифицированные сведения о физических лицах персонифицированные сведения о физических лицах нулевой	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	персонифицированные сведения о физических лицах персонифицированные сведения о физических лицах нулевой	персонифицировать сведение о физический лицо персонифицировать сведение о физический лицо нулевой
28	отчет по сзвм	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	отчет по сзвм	отчет по сзвм
29	отчет сзв-тд отчет	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['сзв-тд']	отчет сзв-тд отчет	отчет сзвтд отчет
30	какой кбк ндфл по дивидендам для заполнения уведомления	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['ндфл']	какой кбк ндфл по дивидендам для заполнения уведомления	какой кбк ндфл по дивиденд для заполнение уведомление
31	как заполнить уведомление по ндфл, какое кбк	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['ндфл']	как заполнить уведомление по ндфл, какое кбк	как заполнять уведомление по ндфл какой кбк
32	сколько раз в месяц нужно платить ндфл	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['ндфл']	сколько раз в месяц нужно платить ндфл	сколько раз в месяц нужно платить ндфл
33	сколько раз в месяц нужно платить зарплату	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	сколько раз в месяц нужно платить зарплату	сколько раз в месяц нужно платить зарплата
34	добрый день! как будем отдыхать в марте?	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	добрый день! как будем отдыхать в марте?	добрый день как быть отдыхать в март
35	как будем отдыхать в мае	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	как будем отдыхать в мае	как быть отдыхать в май
36	п.п.1 п.2 ст.346.25нк рф	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['1', '2', '346', '25']	[]	п.п.genцифра п.genцифра ст.genцифра.genцифра5нк рф	п п депцифра п депцифра ст депцифра genцифра5нк рф
37	п. 1 ст. 217, п. 1 ст. 420, п. 1 ст. 421, п. 2 ст. 422 нк рф, п. п. 1, 2 ст. 20.1, п. 2 ст. 20.2 закона n 125-фз)	[]	[]	['п. 1 ст. 217, п. 1 ст. 420, п. 1 ст. 421, п. 2 ст. 422 нк']	['125-фз']	[]	[]	[]	[]	[]	[]	['1', '2', '20', '1', '2', '20', '2']	[]	genнкстатья рф, п. п. genцифра, genцифра ст. genцифра0.genцифра, п. genцифра ст. genцифра0.genцифра закона n genфз)	депнкстатья рф п п депцифра депцифра ст genцифра0 депцифра п депцифра ст genцифра0 депцифра закон n genфз
38	кбк для уведомления по страховым взносам ндфл, земельный налог	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['ндфл', 'земельный']	кбк для уведомления по страховым взносам ндфл, земельный налог	кбк для уведомление по страховой взнос ндфл земельный налог
39	уведомление об исчисленных суммах налога кбк по страховым взносам	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	уведомление об исчисленных суммах налога кбк по страховым взносам	уведомление об исчислять сумма налог кбк по страховой взнос
40	как уменьшить убыток за счет уставного капитала	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	как уменьшить убыток за счет уставного капитала	как уменьшать убыток за счет уставной капитал
41	уменьшение уставного капитала в счет погашения убытков	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	уменьшение уставного капитала в счет погашения убытков	уменьшение уставной капитал в счет погашение убыток
42	как уменьшить убыток за счет уставного капитала	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	как уменьшить убыток за счет уставного капитала	как уменьшать убыток за счет уставной капитал
43	уменьшение уставного капитала в счет погашения убытков	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	уменьшение уставного капитала в счет погашения убытков	уменьшение уставной капитал в счет погашение убыток
44	как рассчитать транспортный налог на гибридный автомобиль	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	как рассчитать транспортный налог на гибридный автомобиль	как рассчитать транспортный налог на гибридный автомобиль
45	как рассчитать транспортный налог по дорогим автомобилям	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	как рассчитать транспортный налог по дорогим автомобилям	как рассчитать транспортный налог по дорогой автомобиль
46	приказ минпромторга россии от 15.07.2019 г. № 2484	['15.07.2019']	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2484']	[]	приказ минпромторга россии от genдата г. № genцифра	приказ минпромторг россия от депдат г депцифра
47	приказом минфина россии № 181н от 15.11.2019 г.	['15.11.2019']	[]	[]	[]	[]	[]	[]	[]	[]	[]	['181']	[]	приказом минфина россии № genцифран от genдата г.	приказ минфин россия депцифран от депдат г
48	показывать ли мобилизованных сотрудников в отчете персонифицированные сведения?	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	показывать ли мобилизованных сотрудников в отчете персонифицированные сведения?	показывать ли мобилизовать сотрудник в отчет персонифицировать сведение
49	выплаты уволенного сотрудника включать в отчет персонифицированные сведения	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	выплаты уволенного сотрудника включать в отчет персонифицированные сведения	выплата увольнять сотрудник включать в отчет персонифицировать сведение
50	добрый день !какие группы выделяют среди основных средств?	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	добрый день !какие группы выделяют среди основных средств?	добрый день какой группа выделять среди основной средство
51	кровать какая группа основных средств	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	кровать какая группа основных средств	кровать какой группа основной средство
52	как заполнить новую форму 6 ндфл за 2022 год	['2022 г']	[]	[]	[]	[]	['форму 6']	[]	[]	[]	[]	[]	['ндфл']	как заполнить новую genформа ндфл за genдатаод	как заполнять новый депформ ндфл за депдатаод
53	отпускные в новой форме 6-ндфл в 2021	[]	[]	[]	[]	[]	['форме 6']	[]	[]	[]	[]	['2021']	['ндфл']	отпускные в новой genформа-ндфл в genцифра	отпускной в новый депформ ндфл в депцифра
54	нужно ли подавать пустой персонифицированный отчет если нет сотрудников	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	нужно ли подавать пустой персонифицированный отчет если нет сотрудников	нужно ли подавать пустой персонифицировать отчет если нет сотрудник
55	если нет выплат, то надо ли сдавать персонифицированный отчет	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	если нет выплат, то надо ли сдавать персонифицированный отчет	если нет выплата то надо ли сдавать персонифицировать отчет
56	здравствуйте, есть ли сроки подачи корректировочного уведомления по налогам?	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	здравствуйте, есть ли сроки подачи корректировочного уведомления по налогам?	здравствовать быть ли срок подача корректировочный уведомление по налог
57	срок подачи уведомления по налогу на прибыль	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['прибыль']	срок подачи уведомления по налогу на прибыль	срок подача уведомление по налогприбыль
58	нужно ли заполнять ефс если не было кадровых изменений	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['ефс']	нужно ли заполнять ефс если не было кадровых изменений	нужно ли заполнять ефс если не быть кадровый изменение
59	как заполнить сзв-тд если не было кадровых изменений	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['сзв-тд']	как заполнить сзв-тд если не было кадровых изменений	как заполнять сзвтд если не быть кадровый изменение
60	какая ставка налога на имущество в 2022 году (свердловская область)?	['2022 г']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['имущество']	какая ставка налога на имущество в genдатаоду (свердловская область)?	какой ставка налог на имущество в депдатаод свердловский область
61	налоговая ставка на водный налог в кемеровской области на 2022 год	['2022 г']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	налоговая ставка на водный налог в кемеровской области на genдатаод	налоговый ставка на водный налог в кемеровский область на депдатаод
62	добрый день! нужно ли подавать пустое уведомление об исчисленных суммах налога?	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	добрый день! нужно ли подавать пустое уведомление об исчисленных суммах налога?	добрый день нужно ли подавать пустой уведомление об исчислять сумма налог
63	когда подавать уведомление об исчисленных суммах налогов	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	когда подавать уведомление об исчисленных суммах налогов	когда подавать уведомление об исчислять сумма налог
64	здравствуйте! есть ли информация по образцу заполнения заявления по форме кнд 1112542? ¶спасибо!	[]	[]	[]	[]	[]	['форме кнд 1112542']	[]	[]	[]	[]	[]	[]	здравствуйте! есть ли информация по образцу заполнения заявления по genформа? ¶спасибо!	здравствовать быть ли информация по образец заполнение заявление по депформ спасибо
65	образец заполнения формы по кнд 1150058 как заполнять	[]	[]	[]	[]	[]	[]	['кнд 1150058']	[]	[]	[]	[]	[]	образец заполнения формы по genкнд как заполнять	образец заполнение форма по депкнд как заполнять
66	здравствуйте! подскажите срок уплаты транспортного налога и налога на имущество за 2022 год?	['2022 г']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['имущество']	здравствуйте! подскажите срок уплаты транспортного налога и налога на имущество за genдатаод?	здравствовать подсказывать срок уплата транспортный налог и налог на имущество за депдатаод
67	сроки уплаты земельного налога налога 2022 году	['2022 г']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	сроки уплаты земельного налога налога genдатаоду	срок уплата земельный налог налог депдатаод
68	дд! нужно ли подавать уведомление об исчисленных суммах налогов, если взносы не платили?	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	дд! нужно ли подавать уведомление об исчисленных суммах налогов, если взносы не платили?	дд нужно ли подавать уведомление об исчислять сумма налог если взнос не платить
69	когда подавать уведомление об исчисленных суммах налогов	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	когда подавать уведомление об исчисленных суммах налогов	когда подавать уведомление об исчислять сумма налог
70	добрый день! нужно ли подавать уведомление при уплате усн за 4 квартал 2022 года?	['4 квартал 2022']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['усн']	добрый день! нужно ли подавать уведомление при уплате усн за genдата года?	добрый день нужно ли подавать уведомление при уплата усн за депдат год
71	нужно ли подавать уведомление по земельному налогу за 4 квартал 2022 года?	['4 квартал 2022']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	нужно ли подавать уведомление по земельному налогу за genдата года?	нужно ли подавать уведомление по земельный налог за депдат год
72	добрый день подскажите пожалуйста поконкретнее кбк перечисление страховых взносов опс, дополнительный тариф, ндфл,, спасибо	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['ндфл']	добрый день подскажите пожалуйста поконкретнее кбк перечисление страховых взносов опс, дополнительный тариф, ндфл,, спасибо	добрый день подсказывать пожалуйста конкретно кбк перечисление страховой взнос опс дополнительный тариф ндфл спасибо
73	дополнительные страховые взносы кбк	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	дополнительные страховые взносы кбк	дополнительный страховой взнос кбк
74	добрый день, в отношении какого недвижимого имущества для расчета налога берется кадастровая стоимость? организация осно	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	добрый день, в отношении какого недвижимого имущества для расчета налога берется кадастровая стоимость? организация осно	добрый день в отношение какой недвижимый имущество для расчет налог браться кадастровый стоимость организация осно
75	расчет среднегодовой стоимости имущества имущество организации на усн	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['имущество', 'усн']	расчет среднегодовой стоимости имущества имущество организации на усн	расчет среднегодовой стоимость имущество имущество организация на усн
76	здравствуйте. в уведомлении об исчисленных суммах налогов по ндфл надо ставить другой кбк для дивидендов?	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['ндфл']	здравствуйте. в уведомлении об исчисленных суммах налогов по ндфл надо ставить другой кбк для дивидендов?	здравствовать в уведомление об исчислять сумма налог по ндфл надо ставить другой кбк для дивиденд
77	какой кбк указывать в уведомлении об исчисленной сумме налога по ндфл	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['ндфл']	какой кбк указывать в уведомлении об исчисленной сумме налога по ндфл	какой кбк указывать в уведомление об исчислять сумма налог по ндфл
78	включать ли в отчет 6-ндфл за 2022 год начисленные больничные и отпускные за декабрь 2022 года	['2022 г', 'декабрь 2022']	[]	[]	[]	[]	[]	[]	['6-ндфл']	[]	[]	[]	['ндфл']	включать ли в отчет genндфл за genдатаод начисленные больничные и отпускные за декабрь genдатаода	включать ли в отчет депндфл за депдатаод начислять больничный и отпускной за декабрь депдатаод
79	входит ли ндфл выплаченный в 2023 году за декабрь 2022 в справке 2-ндфл за 2022 год для работника	['2023 г', 'декабрь 2022', '2022 г']	[]	[]	[]	[]	[]	[]	['2-ндфл']	[]	[]	[]	['ндфл', 'ндфл']	входит ли ндфл выплаченный в genдатаоду за genдата в справке genндфл за genдатаод для работника	входить ли ндфл выплачивать в депдатаод за депдат в справка депндфл за депдатаод для работник
80	добрый вечер! уведомление по уплате ндфл надо отдельно отправлять от уведомления по сумме уплаченных страховых взносов?	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['ндфл']	добрый вечер! уведомление по уплате ндфл надо отдельно отправлять от уведомления по сумме уплаченных страховых взносов?	добрый вечер уведомление по уплата ндфл надо отдельно отправлять от уведомление по сумма уплачивать страховой взнос
81	какой кбк указать в уведомлении об исчисленных суммах по енп если уплачены страховые взносы за сотрудников?	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['енп']	какой кбк указать в уведомлении об исчисленных суммах по енп если уплачены страховые взносы за сотрудников?	какой кбк указывать в уведомление об исчислять сумма по енс если уплачивать страховой взнос за сотрудник
82	здравствуйте. нужно ли подавать уведомление на транспортный и земельный налоги за 2022 год? срок уплаты 1 марта 2023 года.	['2022 г', 'марта 2023']	[]	[]	[]	[]	[]	[]	[]	[]	[]	['1']	['земельный']	здравствуйте. нужно ли подавать уведомление на транспортный и земельный налоги за genдатаод? срок уплаты genцифра genдата года.	здравствовать нужно ли подавать уведомление на транспортный и земельный налог за депдатаод срок уплата депцифра депдатый год
83	налог на имущество уплачен в 2022 году нужно ли подавать уведомление в 2023 году	['2022 г', '2023 г']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['имущество']	налог на имущество уплачен в genдатаоду нужно ли подавать уведомление в genдатаоду	налог на имущество уплачивать в депдатаод нужно ли подавать уведомление в депдатаод
84	доброе утро. подскажите пожалуйста, если декларация по налогу на имущество сдана, уведомление за 2022 год подавать уже не нужно	['2022 г']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['имущество']	доброе утро. подскажите пожалуйста, если декларация по налогу на имущество сдана, уведомление за genдатаод подавать уже не нужно	добрый утро подсказывать пожалуйста если декларация по налог на имущество сдавать уведомление за депдатаод подавать уже не нужно
85	если не оплатить налог на имущество за 4 квартал 2022 года, нужно ли подавать уведомление	['4 квартал 2022']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['имущество']	если не оплатить налог на имущество за genдата года, нужно ли подавать уведомление	если не оплачивать налог на имущество за депдат год нужно ли подавать уведомление
86	доброе утро! подскажите на какой кбк платить земельный налог?	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['земельный']	доброе утро! подскажите на какой кбк платить земельный налог?	добрый утро подсказывать на какой кбк платить земельный налог
87	по какому кбк оплатить пени по земельному налогу	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	по какому кбк оплатить пени по земельному налогу	по какой кбк оплачивать пеня по земельный налог
88	как заполнить отчет 6-ндфл в 2023 году	['2023 г']	[]	[]	[]	[]	[]	[]	['6-ндфл']	[]	[]	[]	['ндфл']	как заполнить отчет genндфл в genдатаоду	как заполнять отчет депндфл в депдатаод
89	как заполнить отчет 6-ндфл за полугодие 2022 года	['2022 г']	[]	[]	[]	[]	[]	[]	['6-ндфл']	[]	[]	[]	['ндфл']	как заполнить отчет genндфл за полугодие genдатаода	как заполнять отчет депндфл за полугодие депдатаод
90	уведомление по енп об исчисленных суммах по транспортному налогу за 2022 год нужно подавать, если оплаты в 2023 году не было ????	['2022 г', '2023 г']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['енп']	уведомление по енп об исчисленных суммах по транспортному налогу за genдатаод нужно подавать, если оплаты в genдатаоду не было ????	уведомление по енс об исчислять сумма по транспортный налог за депдатаод нужно подавать если оплата в депдатаод не быть
91	можно не подавать уведомление о начисленных налогах в 2023 году	['2023 г']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	можно не подавать уведомление о начисленных налогах в genдатаоду	можно не подавать уведомление о начислять налог в депдатаод
92	добрый день. как в 1с начислять ежемесячные авансовые платежи по налогу на прибыль в 2023 году?	['2023 г']	[]	[]	[]	[]	[]	[]	[]	[]	[]	['1']	['прибыль']	добрый день. как в genцифрас начислять ежемесячные авансовые платежи по налогу на прибыль в genдатаоду?	добрый день как в депцифрас начислять ежемесячный авансовый платеж по налогприбыль в депдатаод
93	ежемесячные авансовые платежи по налогу на прибыль в 2022 году	['2022 г']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['прибыль']	ежемесячные авансовые платежи по налогу на прибыль в genдатаоду	ежемесячный авансовый платеж по налогприбыль в депдатаод
94	добрый день. можно ли не предоставлять дополнительные дни к ежегодному отпуску?	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	добрый день. можно ли не предоставлять дополнительные дни к ежегодному отпуску?	добрый день можно ли не предоставлять дополнительный день к ежегодный отпуск
95	предоставляем дополнительный ежегодный отпуск	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	предоставляем дополнительный ежегодный отпуск	предоставлять дополнительный ежегодный отпуск
96	доброе утро! на какие реквизиты платить усн ип за 2022 год?	['2022 г']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['усн', 'ип']	доброе утро! на какие реквизиты платить усн ип за genдатаод?	добрый утро на какой реквизит платить усн ип за депдатаод
97	какие налоги платит ип на патенте в 2022 году	['2022 г']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['ип']	какие налоги платит ип на патенте в genдатаоду	какой налог платить ип на патент в депдатаод
98	какой штраф за несвоевременную сдачу сзв стаж?	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	какой штраф за несвоевременную сдачу сзв стаж?	какой штраф за несвоевременный сдача сзвстаж
99	какой штраф за несвоевременную сдачу сзв-м	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['сзв-м']	какой штраф за несвоевременную сдачу сзв-м	какой штраф за несвоевременный сдача сзвм
100	отчет по сзвм	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	отчет по сзвм	отчет по сзвм
101	отчет сзв-тд отчет	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['сзв-тд']	отчет сзв-тд отчет	отчет сзвтд отчет
102	платежное поручение вместо уведомление о енп до какого числа действует?	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['енп']	платежное поручение вместо уведомление о енп до какого числа действует?	платежный поручение вместо уведомление о енс до какой число действовать
103	какой кбк указать в платежном поручение уведомление в 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	[]	какой кбк указать в платежном поручение уведомление в genцифра	какой кбк указывать в платежный поручение уведомление в депцифра
104	ндс	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['ндс']	ндс	ндс
105	вопросы по ндс	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['ндс']	вопросы по ндс	вопрос по ндс
106	ефс-1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['ефс-1']	[]	genцифра	депцифра
107	ефс-1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['ефс-1']	[]	genцифра	депцифра
108	за не сдачу отчета 6-ндфл какие штрафы?	[]	[]	[]	[]	[]	[]	[]	['6-ндфл']	[]	[]	[]	['ндфл']	за не сдачу отчета genндфл какие штрафы?	за не сдача отчет депндфл какой штраф
109	какой штраф за не сдачу отчета 6-ндфл	[]	[]	[]	[]	[]	[]	[]	['6-ндфл']	[]	[]	[]	['ндфл']	какой штраф за не сдачу отчета genндфл	какой штраф за не сдача отчет депндфл
110	добрый день, надо ли сдавать декларацию по имуществу за 2022?	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2022']	[]	добрый день, надо ли сдавать декларацию по имуществу за genцифра?	добрый день надо ли сдавать декларация по имущество за депцифра
111	надо ли сдавать декларацию по имуществу в 2022	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2022']	[]	надо ли сдавать декларацию по имуществу в genцифра	надо ли сдавать декларация по имущество в депцифра
112	енп 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['енп']	енп genцифра	енс депцифра
113	енп в 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['енп']	енп в genцифра	енс в депцифра
